#x   cos(x)
0.00 1.0000
0.03 0.9995
0.06 0.9980
0.09 0.9955
0.13 0.9920
0.16 0.9876
0.19 0.9821
0.22 0.9757
0.25 0.9683
0.28 0.9599
0.32 0.9506
0.35 0.9403
0.38 0.9291
0.41 0.9169
0.44 0.9039
0.47 0.8899
0.51 0.8751
0.54 0.8594
0.57 0.8428
0.60 0.8254
0.63 0.8072
0.66 0.7881
0.69 0.7683
0.73 0.7477
0.76 0.7264
0.79 0.7043
0.82 0.6815
0.85 0.6581
0.88 0.6340
0.92 0.6093
0.95 0.5839
0.98 0.5580
1.01 0.5316
1.04 0.5046
1.07 0.4770
1.11 0.4491
1.14 0.4206
1.17 0.3918
1.20 0.3625
1.23 0.3329
1.26 0.3030
1.29 0.2728
1.33 0.2423
1.36 0.2115
1.39 0.1806
1.42 0.1494
1.45 0.1181
1.48 0.0867
1.52 0.0552
1.55 0.0237
1.58 -0.0079
1.61 -0.0395
1.64 -0.0710
1.67 -0.1024
1.70 -0.1338
1.74 -0.1650
1.77 -0.1961
1.80 -0.2269
1.83 -0.2575
1.86 -0.2879
1.89 -0.3180
1.93 -0.3478
1.96 -0.3772
1.99 -0.4063
2.02 -0.4349
2.05 -0.4631
2.08 -0.4909
2.12 -0.5181
2.15 -0.5449
2.18 -0.5711
2.21 -0.5967
2.24 -0.6217
2.27 -0.6461
2.30 -0.6699
2.34 -0.6930
2.37 -0.7154
2.40 -0.7371
2.43 -0.7581
2.46 -0.7783
2.49 -0.7977
2.53 -0.8164
2.56 -0.8342
2.59 -0.8512
2.62 -0.8673
2.65 -0.8826
2.68 -0.8970
2.72 -0.9105
2.75 -0.9231
2.78 -0.9348
2.81 -0.9455
2.84 -0.9554
2.87 -0.9642
2.90 -0.9721
2.94 -0.9790
2.97 -0.9850
3.00 -0.9899
3.03 -0.9939
3.06 -0.9969
3.09 -0.9989
3.13 -0.9999
3.16 -0.9999
3.19 -0.9989
3.22 -0.9969
3.25 -0.9939
3.28 -0.9899
3.32 -0.9850
3.35 -0.9790
3.38 -0.9721
3.41 -0.9642
3.44 -0.9554
3.47 -0.9455
3.50 -0.9348
3.54 -0.9231
3.57 -0.9105
3.60 -0.8970
3.63 -0.8826
3.66 -0.8673
3.69 -0.8512
3.73 -0.8342
3.76 -0.8164
3.79 -0.7977
3.82 -0.7783
3.85 -0.7581
3.88 -0.7371
3.92 -0.7154
3.95 -0.6930
3.98 -0.6699
4.01 -0.6461
4.04 -0.6217
4.07 -0.5967
4.10 -0.5711
4.14 -0.5449
4.17 -0.5181
4.20 -0.4909
4.23 -0.4631
4.26 -0.4349
4.29 -0.4063
4.33 -0.3772
4.36 -0.3478
4.39 -0.3180
4.42 -0.2879
4.45 -0.2575
4.48 -0.2269
4.52 -0.1961
4.55 -0.1650
4.58 -0.1338
4.61 -0.1024
4.64 -0.0710
4.67 -0.0395
4.70 -0.0079
4.74 0.0237
4.77 0.0552
4.80 0.0867
4.83 0.1181
4.86 0.1494
4.89 0.1806
4.93 0.2115
4.96 0.2423
4.99 0.2728
5.02 0.3030
5.05 0.3329
5.08 0.3625
5.11 0.3918
5.15 0.4206
5.18 0.4491
5.21 0.4770
5.24 0.5046
5.27 0.5316
5.30 0.5580
5.34 0.5839
5.37 0.6093
5.40 0.6340
5.43 0.6581
5.46 0.6815
5.49 0.7043
5.53 0.7264
5.56 0.7477
5.59 0.7683
5.62 0.7881
5.65 0.8072
5.68 0.8254
5.71 0.8428
5.75 0.8594
5.78 0.8751
5.81 0.8899
5.84 0.9039
5.87 0.9169
5.90 0.9291
5.94 0.9403
5.97 0.9506
6.00 0.9599
6.03 0.9683
6.06 0.9757
6.09 0.9821
6.13 0.9876
6.16 0.9920
6.19 0.9955
6.22 0.9980
6.25 0.9995
6.28 1.0000
